,song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
61,Beth/Rest,Bon Iver,0.489,0.249,9,-12.812,1,0.0323,0.922,0.597,0.112,0.0507,128.171,audio_features,316800,4
62,Better Man,Leon Bridges,0.395,0.746,7,-4.938,1,0.0447,0.219,0.0,0.123,0.671,188.276,audio_features,140133,4
63,Better Run,Royal Bangs,0.355,0.968,3,-2.441,1,0.12,0.00511,0.00476,0.606,0.592,172.017,audio_features,198505,4
64,Better Together,Jack Johnson,0.868,0.347,5,-9.529,1,0.0536,0.308,2e-05,0.11,0.659,110.059,audio_features,207680,4
65,Between Love & Hate,The Strokes,0.455,0.602,9,-4.919,1,0.0255,6.34e-05,0.53,0.0966,0.538,104.173,audio_features,196573,4
66,Between Love & Hate,The Strokes,0.455,0.603,9,-4.919,1,0.0255,6.34e-05,0.53,0.0966,0.539,104.179,audio_features,196573,4
67,Beyond,Daft Punk,0.716,0.648,8,-11.33,0,0.0337,0.367,0.485,0.368,0.789,104.022,audio_features,290240,4
68,Big,Cheldon McQueen,0.619,0.82,4,-5.521,0,0.239,0.00696,4.82e-06,0.352,0.497,77.97,audio_features,280163,4
69,Big Boy,Charlotte Cardin,0.549,0.35,3,-7.477,0,0.0916,0.557,0.0,0.0958,0.184,120.658,audio_features,176200,4
70,Big Parade,The Lumineers,0.816,0.635,4,-13.123,1,0.0503,0.424,0.00594,0.2,0.634,121.971,audio_features,327720,4
71,Big Time Sensuality - The Fluke Remix,Björk,0.636,0.779,8,-8.633,1,0.0285,0.000299,0.0966,0.0443,0.671,116.944,audio_features,295027,4
72,Billie Holiday,Miike Snow,0.609,0.894,4,-5.405,1,0.0637,0.00451,0.00221,0.108,0.661,133.419,audio_features,241187,4
73,Billie Jean,The Lost Fingers,0.738,0.605,6,-6.214,0,0.0556,0.366,0.0,0.213,0.911,122.874,audio_features,257267,4
74,Billie Jean (Home Demo from 1981),Michael Jackson,0.949,0.435,6,-8.51,0,0.042,0.0783,9.86e-05,0.0835,0.512,114.953,audio_features,140200,4
75,Billie Jean,Michael Jackson,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,audio_features,293827,4
76,Billie Jean,Michael Jackson,0.924,0.575,11,-5.091,0,0.0424,0.0185,0.0221,0.0472,0.828,117.172,audio_features,292827,4
77,Bing Bing,Les Trois Accords,0.502,0.761,0,-5.023,1,0.0276,0.000799,0.000191,0.0532,0.342,77.031,audio_features,192467,4
78,Birth In Reverse,St. Vincent,0.571,0.867,1,-6.794,0,0.109,0.0107,0.000159,0.251,0.791,161.991,audio_features,195893,4
79,Birthday,Beach Fossils,0.325,0.956,2,-6.381,1,0.0414,0.000579,0.595,0.277,0.703,165.688,audio_features,172653,4
80,Birthday - Remastered 2009,The Beatles,0.541,0.727,2,-7.509,1,0.0384,7.37e-05,0.717,0.232,0.91,139.239,audio_features,163080,4
81,Bitch - 2009 Mix,The Rolling Stones,0.655,0.972,7,-3.502,1,0.0362,0.257,0.297,0.165,0.973,135.922,audio_features,217093,4
82,Biting Down,Lorde,0.834,0.375,1,-10.91,0,0.0588,0.749,0.0201,0.107,0.334,116.024,audio_features,213666,4
83,Bitter Memories,Bahamas,0.418,0.486,5,-7.942,1,0.0288,0.771,0.00225,0.124,0.285,154.761,audio_features,148880,4
84,Bitter Poem,Cold War Kids,0.251,0.455,8,-8.168,1,0.037,0.151,0.00223,0.233,0.193,184.947,audio_features,305653,4
85,Black & Blue,Miike Snow,0.68,0.78,5,-3.782,0,0.0309,0.0317,0.000214,0.109,0.559,134.972,audio_features,219733,4
86,Black & Blue,Miike Snow,0.662,0.799,5,-3.863,0,0.0304,0.0175,0.00023,0.113,0.497,134.988,audio_features,219733,4
87,Black Like Me,Spoon,0.47,0.614,11,-7.545,0,0.0408,0.246,5.57e-05,0.11,0.513,171.659,audio_features,205893,4
88,Black Man In A White World - Live From Spotify London,Michael Kiwanuka,0.482,0.826,7,-8.397,1,0.0563,0.105,0.546,0.4,0.457,125.844,audio_features,469625,4
89,Black Mirror,Arcade Fire,0.526,0.847,10,-9.717,0,0.0385,0.0591,0.421,0.111,0.155,124.054,audio_features,253373,4
90,Black Mud,The Black Keys,0.515,0.502,11,-8.898,0,0.058,0.253,0.883,0.345,0.374,143.937,audio_features,129440,4
91,Black Tables,Other Lives,0.304,0.208,2,-12.869,1,0.0312,0.742,0.0499,0.101,0.104,118.483,audio_features,273800,4
92,Black Velvet,VioleTT Pi,0.597,0.706,8,-8.705,1,0.0696,0.0696,2.11e-05,0.108,0.441,139.803,audio_features,225000,4
93,Black Water,Timber Timbre,0.57,0.311,2,-7.975,0,0.0273,0.635,0.0145,0.496,0.507,141.823,audio_features,359827,4
94,Black Wave/Bad Vibrations,Arcade Fire,0.274,0.774,0,-7.504,0,0.0403,0.00437,0.684,0.0924,0.144,121.123,audio_features,237507,4
95,Black Widow,Cage The Elephant,0.414,0.891,6,-0.758,0,0.0485,0.0178,0.0,0.158,0.732,127.464,audio_features,187184,4
96,Blackbird - Anthology 3 Version,The Beatles,0.66,0.139,7,-13.817,1,0.0352,0.885,0.0,0.102,0.423,92.742,audio_features,138627,3
97,Blackbird - Remastered 2009,The Beatles,0.686,0.127,7,-14.361,1,0.0342,0.754,1.41e-05,0.0573,0.372,93.699,audio_features,138387,4
98,Blackbird / Yesterday,The Beatles,0.483,0.107,5,-15.465,1,0.031,0.828,0.0,0.092,0.195,94.371,audio_features,151992,4
99,Blacklights,Koriass,0.5,0.645,11,-9.292,0,0.316,0.00988,0.0,0.196,0.147,197.84,audio_features,223173,4
100,Blackstar,David Bowie,0.366,0.552,6,-8.35,1,0.0317,0.206,0.0595,0.178,0.114,97.98,audio_features,597933,4
101,Blackwind,Patrick Watson,0.38,0.654,7,-9.303,1,0.0501,0.719,0.0335,0.0916,0.244,167.133,audio_features,234495,3
102,Bless You,Leeroy,0.722,0.714,11,-5.53,0,0.0995,0.00354,4.9e-06,0.075,0.641,109.959,audio_features,199213,4
103,Blindsided,Bon Iver,0.671,0.147,10,-18.626,1,0.0366,0.958,0.0779,0.144,0.0556,115.298,audio_features,329267,4
104,Blonde On Blonde,Nada Surf,0.6,0.434,0,-10.45,1,0.0279,0.465,0.00386,0.117,0.0618,98.061,audio_features,275133,4
105,Bloodflood,alt-J,0.685,0.535,6,-8.908,0,0.0363,0.831,0.404,0.0896,0.218,130.023,audio_features,249427,4
106,Bloodflood pt. II,alt-J,0.599,0.564,6,-9.484,0,0.0401,0.711,0.0608,0.068,0.0992,120.016,audio_features,319498,4
107,Bloodshot Eyes,General Elektriks,0.759,0.575,8,-5.89,1,0.0317,0.646,0.106,0.134,0.502,100.974,audio_features,186973,4
108,Bloodstains,Kafka Tamura,0.679,0.443,9,-8.886,0,0.0312,0.766,0.000295,0.102,0.149,124.024,audio_features,214693,4
109,Blue Boss,Sampa the Great,0.7,0.757,7,-7.819,1,0.249,0.65,0.00148,0.0938,0.693,83.443,audio_features,171626,4
110,Blue Boy,Mac DeMarco,0.489,0.793,10,-5.848,1,0.0421,0.444,0.3,0.213,0.603,81.326,audio_features,126224,4
111,Blue Jay Way - Remastered 2009,The Beatles,0.294,0.407,0,-11.575,1,0.0308,0.0258,0.000219,0.0852,0.0378,101.052,audio_features,235067,4
112,Blue Jean - 1999 Remaster,David Bowie,0.508,0.832,11,-6.386,0,0.0456,0.0138,0.558,0.282,0.69,124.549,audio_features,192160,4
113,Blue Veins,The Raconteurs,0.362,0.436,4,-9.247,0,0.0441,0.184,0.00446,0.13,0.0705,130.015,audio_features,232493,3
114,Blurred Lines,Robin Thicke,0.853,0.599,7,-4.756,1,0.0411,0.00334,7.93e-06,0.0759,0.843,119.993,audio_features,263827,4
115,Bodysnatchers,Radiohead,0.343,0.977,2,-4.993,1,0.0579,0.00455,0.0197,0.0948,0.727,166.664,audio_features,242293,4
116,Boe Zaah,Mac DeMarco,0.632,0.679,8,-10.214,0,0.0619,0.303,0.911,0.263,0.834,144.802,audio_features,101465,4
117,Bogart & Bergman,Justin Hurwitz,0.372,0.0638,7,-22.375,1,0.0384,0.913,0.847,0.0786,0.272,118.472,audio_features,130920,3
118,Bohemian Rhapsody,Jake Shimabukuro,0.511,0.0912,0,-16.354,1,0.0688,0.979,0.868,0.0745,0.273,148.415,audio_features,354226,4
119,Bohemian Rhapsody - Remastered 2011,Queen,0.392,0.402,0,-9.961,0,0.0536,0.288,0.0,0.243,0.228,143.883,audio_features,354320,4
120,Bohemian Rhapsody - Live Version,Jake Shimabukuro,0.495,0.132,0,-18.154,1,0.0533,0.97,0.832,0.434,0.18,157.01,audio_features,366240,4
121,Bohemian Rhapsody - Operatic Section / 2011 A Cappella Mix,Queen,0.772,0.591,10,-12.388,1,0.57,0.658,0.0,0.0748,0.698,75.838,audio_features,63453,4
122,Boise,Justin Hurwitz,0.608,0.347,11,-12.679,0,0.0338,0.473,0.957,0.0553,0.825,99.03,audio_features,73013,4
123,The Bold Arrow Of Time,Tame Impala,0.341,0.536,0,-5.918,1,0.0348,0.82,0.582,0.311,0.514,122.155,audio_features,228707,4
124,Bolo Tie (feat. YG),Macklemore,0.861,0.709,2,-6.14,1,0.259,0.0753,0.0,0.329,0.418,109.018,audio_features,217413,4
125,BomBom (feat. The Teaching),Macklemore & Ryan Lewis,0.765,0.582,1,-10.075,0,0.0415,0.768,0.903,0.111,0.262,126.477,audio_features,295679,4
126,Bone Machine,Pixies,0.599,0.932,9,-5.164,0,0.0462,0.00202,1.7e-05,0.368,0.781,116.407,audio_features,180533,4
127,Bones,Kafka Tamura,0.456,0.778,4,-5.721,0,0.0541,0.461,3.38e-05,0.0665,0.607,113.023,audio_features,195902,4
128,Bones,Michael Kiwanuka,0.635,0.476,10,-9.443,1,0.0371,0.627,0.0,0.275,0.492,111.587,audio_features,225918,4
129,Bongo Bong,Manu Chao,0.754,0.546,9,-10.031,0,0.063,0.945,0.000277,0.129,0.966,149.874,audio_features,158427,4
130,Bonzaïon,Loco Locass,0.588,0.847,2,-6.749,1,0.43,0.00872,0.0,0.432,0.771,175.609,audio_features,292693,4
131,Boom Boom Pow,Black Eyed Peas,0.867,0.857,9,-5.892,1,0.0663,0.13,0.00171,0.13,0.402,130.048,audio_features,251427,4
132,Boomerang,Radio Radio,0.916,0.868,7,-5.887,1,0.258,0.0754,0.0,0.109,0.961,126.027,audio_features,227653,4
133,Border Line,King Krule,0.641,0.549,11,-8.303,0,0.1,0.522,0.000113,0.0764,0.345,99.913,audio_features,185853,4
134,Borders,The Whitest Boy Alive,0.503,0.518,2,-8.697,1,0.0378,0.103,0.574,0.101,0.3,122.345,audio_features,324122,4
135,Borrowed Time,O.A.R.,0.859,0.541,7,-6.949,1,0.0303,0.046,0.486,0.208,0.869,94.005,audio_features,355880,4
136,Bottled Affection,Cold War Kids,0.59,0.767,7,-5.522,1,0.0349,0.0769,0.0402,0.124,0.563,102.008,audio_features,164933,4
137,Boy Meets Girl,Jake Shimabukuro,0.814,0.386,7,-12.884,0,0.114,0.708,0.839,0.0984,0.915,112.115,audio_features,200453,4
138,Boy Racers,Metronomy,0.748,0.396,5,-12.133,0,0.0423,0.587,0.877,0.11,0.194,119.556,audio_features,258720,4
139,Boychild Ghost,Fly Golden Eagle,0.353,0.619,6,-10.881,0,0.0319,0.138,0.846,0.255,0.439,106.764,audio_features,305507,4
140,Boys & Girls,Alabama Shakes,0.622,0.198,4,-12.294,1,0.0574,0.918,0.233,0.174,0.182,111.176,audio_features,205987,1
141,Boys - Anthology 1 Version,The Beatles,0.39,0.887,4,-5.814,1,0.144,0.144,0.0,0.33,0.895,145.58,audio_features,109600,4
142,Boys - Live / Remastered,The Beatles,0.279,0.941,9,-6.217,1,0.0712,0.0372,0.000231,0.853,0.642,79.621,audio_features,128747,4
143,Boys - Remastered 2009,The Beatles,0.402,0.86,4,-10.31,1,0.0504,0.607,0.0,0.736,0.822,142.445,audio_features,146440,4
144,"Boys, What Was I Thinking... - Anthology 1 Version",The Beatles,0.498,0.963,3,-8.682,0,0.9,0.763,0.0,0.727,0.472,80.587,audio_features,125573,3
145,Brad Pitt's Cousin (feat. Xperience),Macklemore,0.784,0.836,3,-3.248,1,0.25,0.164,0.0,0.33,0.928,130.833,audio_features,191627,4
146,Brain Damage,Pink Floyd,0.322,0.265,2,-13.398,1,0.0302,0.0726,0.34,0.366,0.207,133.577,audio_features,226667,4
147,Bravado,Lorde,0.489,0.535,7,-10.34,1,0.0933,0.539,0.0266,0.166,0.04,175.921,audio_features,221409,4
148,Brave For You,The xx,0.54,0.417,10,-11.048,0,0.0307,0.664,0.000425,0.106,0.281,134.762,audio_features,253093,4
149,Break Forth O Beauteous Heavenly Light,Sufjan Stevens,0.256,0.175,7,-14.523,1,0.0343,0.979,0.00131,0.337,0.339,140.069,audio_features,69267,4
150,Breakdown,Jack Johnson,0.773,0.394,0,-9.252,1,0.0516,0.627,1.36e-05,0.0953,0.443,74.977,audio_features,212707,4
151,Breathe (In the Air),Pink Floyd,0.431,0.375,11,-15.142,0,0.0347,0.391,0.721,0.143,0.258,128.153,audio_features,169535,4
152,Breathing Underwater,Metric,0.415,0.933,11,-4.737,0,0.0689,0.00221,0.0577,0.358,0.171,141.13,audio_features,236413,4
153,Breathing Underwater - Acoustic,Metric,0.578,0.303,7,-11.346,1,0.0316,0.843,0.000339,0.181,0.338,138.419,audio_features,274587,4
154,Breed,Nirvana,0.262,0.969,4,-4.675,1,0.0894,3.69e-06,0.00213,0.133,0.263,158.433,audio_features,184040,4
155,Breezeblocks,alt-J,0.616,0.656,5,-7.298,1,0.0344,0.096,0.000879,0.205,0.286,150.071,audio_features,227080,4
156,"Breezeblocks - Live at Lido Berlin, Berlin, Germany, 10/1/2014",alt-J,0.587,0.905,10,-5.345,1,0.0345,0.415,0.000108,0.947,0.434,149.942,audio_features,239513,4
157,Brian Was A Beautiful Guy...He Presented Us Well - Anthology 1 Version,John Lennon,0.0,0.183,7,-14.092,1,0.0,0.993,0.0019,0.112,0.0,0.0,audio_features,10013,0
158,"Brick By Brick - Live At MTV Unplugged, 2009",Katy Perry,0.629,0.18,0,-11.707,0,0.0341,0.76,0.0,0.117,0.249,111.883,audio_features,279280,4
159,Bright Shiny Lights,Patrick Watson,0.467,0.0788,5,-17.108,1,0.0802,0.84,0.0,0.175,0.377,99.026,audio_features,154280,4
160,Bright Shiny Lights,Patrick Watson,0.454,0.0747,5,-17.203,1,0.0874,0.839,0.0,0.133,0.398,144.588,audio_features,154280,3
161,Brighter,Beach Fossils,0.173,0.345,0,-12.772,1,0.0368,0.988,0.826,0.306,0.0548,119.542,audio_features,33391,5
162,Bring Me Simple Men,Timber Timbre,0.566,0.385,6,-7.971,1,0.0249,0.374,0.846,0.0948,0.0394,80.015,audio_features,230067,4
163,"Bring Out The Gimp - Dialogue Excerpt From ""Pulp Fiction""",Peter Greene,0.0,0.442,0,-24.684,1,0.0,0.487,0.000124,0.385,0.0,0.0,audio_features,8480,0
164,Bring the Boys Back Home,Pink Floyd,0.33,0.283,0,-15.973,1,0.061,0.568,0.0933,0.235,0.287,157.963,audio_features,87207,4
165,Bring Your Adz,Jake Shimabukuro,0.607,0.707,0,-9.637,0,0.0313,0.459,0.833,0.14,0.57,150.061,audio_features,230413,4
166,Briser Un Coeur,Ariane Moffatt,0.886,0.296,10,-9.205,1,0.0517,0.551,0.00106,0.111,0.424,121.937,audio_features,189373,4
167,The British Grenadiers,The Band Of The Grenadier Guards,0.687,0.346,10,-16.2,1,0.0582,0.932,0.975,0.0709,0.978,93.266,audio_features,37733,4
168,The British Grenadiers,John Williams,0.461,0.0868,0,-32.601,0,0.0567,0.172,0.795,0.133,0.0326,109.622,audio_features,149427,4
169,Brother,Mac DeMarco,0.452,0.791,4,-6.217,0,0.115,0.585,0.847,0.184,0.561,88.267,audio_features,178530,4
170,Brother,Mac DeMarco,0.568,0.674,3,-5.194,0,0.0301,0.13,0.0634,0.431,0.512,93.194,audio_features,212746,4
171,Brother (Live),Mac DeMarco,0.503,0.172,3,-11.091,0,0.0384,0.954,0.000158,0.117,0.224,82.198,audio_features,187880,4
172,Brown Skin Girl,Leon Bridges,0.635,0.343,7,-8.769,1,0.0371,0.564,4.06e-05,0.131,0.303,104.108,audio_features,206587,4
173,Brown Sugar - 2009 Mix,The Rolling Stones,0.633,0.934,0,-3.594,1,0.0344,0.219,0.00021,0.0592,0.963,128.606,audio_features,228667,4
174,Bruises,Kafka Tamura,0.75,0.539,4,-9.024,0,0.0336,0.793,0.0482,0.0873,0.344,96.011,audio_features,239249,4
175,Brun - La couleur de l'amour,Bernard Adamus,0.706,0.649,0,-4.611,1,0.0647,0.38,0.0,0.131,0.602,117.819,audio_features,291747,4
176,Bryn,Vampire Weekend,0.536,0.747,2,-4.676,1,0.0481,0.0525,0.039,0.321,0.833,179.752,audio_features,133173,3
177,Buckshot (feat. KRS-One & DJ Premier),Macklemore,0.61,0.92,7,-4.45,1,0.152,0.0369,0.0,0.386,0.81,88.015,audio_features,213667,4
178,Budapest,George Ezra,0.714,0.451,5,-8.268,1,0.0276,0.0883,0.0,0.108,0.406,127.787,audio_features,200720,4
179,Buffalo Soldier,Bob Marley & The Wailers,0.929,0.463,9,-8.651,1,0.308,0.142,5.26e-06,0.0634,0.757,124.084,audio_features,255840,4
180,Bulbe,VioleTT Pi,0.554,0.701,1,-9.293,1,0.101,0.0647,0.00537,0.266,0.548,160.126,audio_features,206000,4
181,Bull's eye,Louis-Jean Cormier,0.347,0.695,6,-6.224,0,0.0491,0.00474,1.14e-06,0.627,0.273,177.997,audio_features,265947,4
182,Bullet in the Brain,The Black Keys,0.0,0.0,0,-60.0,0,0.0,0.0,0.0,0.0,0.0,0.0,audio_features,254967,0
183,Bullet in the Brain,The Black Keys,0.528,0.621,11,-7.088,0,0.0319,0.00719,0.00134,0.0947,0.541,141.329,audio_features,255947,4
184,Bulletproof,La Roux,0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,audio_features,205733,4
185,Bullwinkle - Pt. II,The Centurians,0.409,0.537,6,-8.562,0,0.0334,0.887,0.669,0.0752,0.346,153.242,audio_features,137707,4
186,Burial,Miike Snow,0.59,0.637,6,-7.031,0,0.0275,0.708,0.0352,0.1,0.313,105.048,audio_features,261120,4
187,Burial,Miike Snow,0.579,0.642,6,-7.12,0,0.0289,0.687,0.0488,0.145,0.278,105.019,audio_features,261133,4
188,Burial - DJ Mehdi Remix,Miike Snow,0.693,0.824,6,-6.949,0,0.0304,0.327,0.175,0.323,0.607,104.993,audio_features,212227,4
189,Burn the Witch,Radiohead,0.541,0.847,11,-6.52,1,0.0297,0.303,0.271,0.109,0.62,148.937,audio_features,220609,4
